,lts,endtime,dst_name,ttr,dst_addr,src_addr,paris_id,result,msm_id,prb_id,timestamp,from,stored_timestamp,hop_1_rtt_mean,ASN,system,timezone,msk_time
74,1,1707338316,gov.ru,40.570804,95.173.128.89,10.237.140.138,1,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.478}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.397}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.424}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.472}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.378}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.339}]}, {'hop': 3, 'result': [{'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 2.025}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.79}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.849}]}, {'hop': 4, 'result': [{'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.118}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 27.694}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.181}]}, {'hop': 5, 'result': [{'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.6}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.438}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.783}]}, {'hop': 6, 'result': [{'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.832}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.87}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.776}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 11, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707338244,213.242.63.247,1707338423,0.433,12389,system: V3,3.0,2024-02-07 23:40:23
563,74,1707340111,gov.ru,28.158206,95.173.128.90,10.237.140.138,2,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.447}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.51}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.445}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.494}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.334}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.419}]}, {'hop': 3, 'result': [{'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.765}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.574}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.789}]}, {'hop': 4, 'result': [{'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 21.565}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 21.756}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 21.851}]}, {'hop': 5, 'result': [{'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 29.018}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 28.851}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 29.023}]}, {'hop': 6, 'result': [{'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 24.314}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 28.158}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 24.341}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 11, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707340039,213.242.63.247,1707340210,0.4673333333333334,12389,system: V3,3.0,2024-02-08 00:10:10
1050,82,1707341916,gov.ru,38.968481,95.173.128.90,10.237.140.138,3,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.437}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.449}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.39}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.517}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.266}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.632}]}, {'hop': 3, 'result': [{'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.667}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.666}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.738}]}, {'hop': 4, 'result': [{'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.35}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.062}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 22.993}]}, {'hop': 5, 'result': [{'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.433}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.213}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.253}]}, {'hop': 6, 'result': [{'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 26.657}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.593}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.651}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 11, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707341843,213.242.63.247,1707342026,0.42533333333333334,12389,system: V3,3.0,2024-02-08 00:40:26
1540,79,1707343718,gov.ru,28.034344,95.173.128.90,10.237.140.138,4,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.449}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.395}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.47}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.545}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 57.378}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.37}]}, {'hop': 3, 'result': [{'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 7.366}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 2.896}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.889}]}, {'hop': 4, 'result': [{'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 21.708}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 21.78}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 21.836}]}, {'hop': 5, 'result': [{'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 37.881}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 28.887}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.183}]}, {'hop': 6, 'result': [{'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 24.271}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 24.188}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 24.216}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 11, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707343645,213.242.63.247,1707343836,0.438,12389,system: V3,3.0,2024-02-08 01:10:36
2030,70,1707345513,gov.ru,40.271452,95.173.128.90,10.237.140.138,5,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.452}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.47}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.435}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.503}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.253}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.234}]}, {'hop': 3, 'result': [{'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 2.644}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 2.167}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 2.212}]}, {'hop': 4, 'result': [{'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 22.945}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.289}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.267}]}, {'hop': 5, 'result': [{'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.446}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.352}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.343}]}, {'hop': 6, 'result': [{'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.686}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.527}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.572}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 11, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707345440,213.242.63.247,1707345659,0.4523333333333333,12389,system: V3,3.0,2024-02-08 01:40:59
2520,1,1707347315,gov.ru,21.755465,95.173.128.89,10.237.140.138,6,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.478}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.439}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.425}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.525}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.269}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.247}]}, {'hop': 3, 'result': [{'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.842}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 2.167}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.855}]}, {'hop': 4, 'result': [{'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 20.627}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 21.3}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 20.809}]}, {'hop': 5, 'result': [{'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.931}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 21.46}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.845}]}, {'hop': 6, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707347242,213.242.63.247,1707347423,0.44733333333333336,12389,system: V3,3.0,2024-02-08 02:10:23
3009,64,1707349108,gov.ru,21.458348,95.173.128.90,10.237.140.138,7,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.512}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.422}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.399}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.675}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.238}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.23}]}, {'hop': 3, 'result': [{'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 2.639}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.89}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.586}]}, {'hop': 4, 'result': [{'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 20.582}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 32.004}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 35.198}]}, {'hop': 5, 'result': [{'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.972}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.911}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.688}]}, {'hop': 6, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707349036,213.242.63.247,1707349221,0.4443333333333333,12389,system: V3,3.0,2024-02-08 02:40:21
3498,34,1707350920,gov.ru,21.224272,95.173.128.89,10.237.140.138,8,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.443}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.406}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.414}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.502}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.301}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 6.275}]}, {'hop': 3, 'result': [{'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 2.461}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 1.81}, {'from': '217.107.123.86', 'ttl': 253, 'size': 28, 'rtt': 2.422}]}, {'hop': 4, 'result': [{'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 20.642}, {'x': '*'}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 20.813}]}, {'hop': 5, 'result': [{'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.841}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.771}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 20.766}]}, {'hop': 6, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707350844,213.242.63.247,1707351002,0.421,12389,system: V3,3.0,2024-02-08 03:10:02
3987,30,1707352714,gov.ru,21.791834,95.173.128.89,10.237.140.138,9,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.441}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.483}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.498}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 4.44}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.257}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.273}]}, {'hop': 3, 'result': [{'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.728}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.597}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.855}]}, {'hop': 4, 'result': [{'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 13.998}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 13.432}, {'from': '188.128.126.245', 'ttl': 253, 'size': 28, 'rtt': 13.544}]}, {'hop': 5, 'result': [{'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 13.773}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 13.729}, {'from': '46.61.162.26', 'ttl': 252, 'size': 28, 'rtt': 13.748}]}, {'hop': 6, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707352642,213.242.63.247,1707352851,0.474,12389,system: V3,3.0,2024-02-08 03:40:51
4476,71,1707354506,gov.ru,28.281625,95.173.128.89,10.237.140.138,10,"[{'hop': 1, 'result': [{'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.457}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.403}, {'from': '10.237.140.137', 'ttl': 64, 'size': 76, 'rtt': 0.385}]}, {'hop': 2, 'result': [{'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.429}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.241}, {'from': '213.242.48.1', 'ttl': 254, 'size': 28, 'rtt': 1.304}]}, {'hop': 3, 'result': [{'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.712}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.637}, {'from': '217.107.123.120', 'ttl': 253, 'size': 28, 'rtt': 1.751}]}, {'hop': 4, 'result': [{'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.227}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.046}, {'from': '188.128.126.253', 'ttl': 253, 'size': 28, 'rtt': 23.23}]}, {'hop': 5, 'result': [{'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.445}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.508}, {'from': '188.128.72.2', 'ttl': 252, 'size': 28, 'rtt': 30.457}]}, {'hop': 6, 'result': [{'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.994}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.73}, {'from': '95.173.133.147', 'ttl': 252, 'size': 28, 'rtt': 25.705}]}, {'hop': 7, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 8, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 9, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 10, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 11, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}, {'hop': 255, 'result': [{'x': '*'}, {'x': '*'}, {'x': '*'}]}]",67531313,10059,1707354433,213.242.63.247,1707354618,0.41500000000000004,12389,system: V3,3.0,2024-02-08 04:10:18
