,index,fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp,ASN,country_code,is_anchor,system,long,lat,time_lagged
0,28,5080,2.6.2,16,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 14.003638}, {'rtt': 13.5944}, {'rtt': 13.458999}, {'rtt': 13.676466}]",0,4,4,13.458999,14.003638,13.68337575,72481479,12794,1716748422,Ping,178.67.67.104,ping,72481479,1200,1716748531,12389.0,RU,False,system: V3,30.9915,59.8795,
1,512,5080,2.6.2,12,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.628926}, {'rtt': 13.55297}, {'rtt': 13.278885}, {'rtt': 13.410124}]",0,4,4,13.278885,13.628926,13.46772625,72481479,12794,1716749618,Ping,178.67.67.104,ping,72481479,1200,1716749673,12389.0,RU,False,system: V3,30.9915,59.8795,1716748422.0
2,994,5080,2.6.2,11,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.674221}, {'rtt': 13.356044}, {'rtt': 13.405704}, {'rtt': 13.36665}]",0,4,4,13.356044,13.674221,13.45065475,72481479,12794,1716750815,Ping,178.67.67.104,ping,72481479,1200,1716750917,12389.0,RU,False,system: V3,30.9915,59.8795,1716749618.0
3,1481,5080,2.6.2,14,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.70014}, {'rtt': 13.027037}, {'rtt': 13.75018}, {'rtt': 12.827551}]",0,4,4,12.827551,13.75018,13.326227,72481479,12794,1716752018,Ping,178.67.67.104,ping,72481479,1200,1716752137,12389.0,RU,False,system: V3,30.9915,59.8795,1716750815.0
4,1967,5080,2.6.2,23,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 14.032801}, {'rtt': 13.256018}, {'rtt': 13.315294}, {'rtt': 13.397529}]",0,4,4,13.256018,14.032801,13.5004105,72481479,12794,1716753218,Ping,178.67.67.104,ping,72481479,1200,1716753317,12389.0,RU,False,system: V3,30.9915,59.8795,1716752018.0
5,2451,5080,2.6.2,82,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 14.496598}, {'rtt': 13.369168}, {'rtt': 13.355162}, {'rtt': 13.406254}]",0,4,4,13.355162,14.496598,13.6567955,72481479,12794,1716754417,Ping,178.67.67.104,ping,72481479,1200,1716754480,12389.0,RU,False,system: V3,30.9915,59.8795,1716753218.0
6,2934,5080,2.6.2,21,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 14.120061}, {'rtt': 13.253057}, {'rtt': 13.541179}, {'rtt': 13.329708}]",0,4,4,13.253057,14.120061,13.56100125,72481479,12794,1716755623,Ping,178.67.67.104,ping,72481479,1200,1716755691,12389.0,RU,False,system: V3,30.9915,59.8795,1716754417.0
7,3418,5080,2.6.2,11,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.696684}, {'rtt': 13.338938}, {'rtt': 13.379069}, {'rtt': 13.357414}]",0,4,4,13.338938,13.696684,13.44302625,72481479,12794,1716756818,Ping,178.67.67.104,ping,72481479,1200,1716756866,12389.0,RU,False,system: V3,30.9915,59.8795,1716755623.0
8,3902,5080,2.6.2,86,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.726041}, {'rtt': 13.361198}, {'rtt': 13.689634}, {'rtt': 13.361758}]",0,4,4,13.361198,13.726041,13.53465775,72481479,12794,1716758019,Ping,178.67.67.104,ping,72481479,1200,1716758074,12389.0,RU,False,system: V3,30.9915,59.8795,1716756818.0
9,4386,5080,2.6.2,6,213.59.253.7,4,213.59.253.7,192.168.88.227,ICMP,247.0,48,"[{'rtt': 13.467568}, {'rtt': 13.279744}, {'rtt': 13.576705}, {'rtt': 13.198728}]",0,4,4,13.198728,13.576705,13.38068625,72481479,12794,1716759215,Ping,178.67.67.104,ping,72481479,1200,1716759287,12389.0,RU,False,system: V3,30.9915,59.8795,1716758019.0
